timestamp,asset_name,asset_class,key,value,unit
2026-04-30T08:00:00Z,CGC,compressor,suction_pressure_bar,1.4,bar
2026-04-30T08:00:00Z,CGC,compressor,discharge_pressure_bar,37.0,bar
2026-04-30T08:00:00Z,CGC,compressor,suction_temperature_c,15.0,degC
2026-04-30T08:00:00Z,CGC,compressor,discharge_temperature_c,110.0,degC
2026-04-30T08:00:00Z,CGC,compressor,interstage_temperature_c,35.0,degC
2026-04-30T08:00:00Z,CGC,compressor,throughput_t_h,180.0,t/h
2026-04-30T08:00:00Z,CGC,compressor,recycle_flow_t_h,8.0,t/h
2026-04-30T08:00:00Z,CGC,compressor,driver_steam_t_h,78.0,t/h
2026-04-30T08:00:00Z,CGC,compressor,igv_opening_pct,85.0,%
2026-04-30T08:00:00Z,CGC,compressor,gas_k_ratio,1.27,-
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,fuel_flow_nm3_h,4500.0,Nm3/h
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,feed_flow_t_h,42.0,t/h
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,dilution_steam_t_h,14.7,t/h
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,cot_actual_c,847.0,degC
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,ethylene_production_t_h,22.0,t/h
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,hp_steam_generation_t_h,58.0,t/h
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,flue_o2_pct,2.8,%
2026-04-30T08:00:00Z,FUR-3,furnace_cracker,stack_temperature_c,160.0,degC
2026-04-30T08:00:00Z,BLR-1,boiler,steam_flow_t_h,120.0,t/h
2026-04-30T08:00:00Z,BLR-1,boiler,steam_pressure_bar,63.0,bar
2026-04-30T08:00:00Z,BLR-1,boiler,steam_temperature_c,485.0,degC
2026-04-30T08:00:00Z,BLR-1,boiler,feedwater_flow_t_h,124.0,t/h
2026-04-30T08:00:00Z,BLR-1,boiler,feedwater_temperature_c,140.0,degC
2026-04-30T08:00:00Z,BLR-1,boiler,fuel_flow_nm3_h,8400.0,Nm3/h
2026-04-30T08:00:00Z,BLR-1,boiler,flue_o2_pct,2.5,%
2026-04-30T08:00:00Z,BLR-1,boiler,stack_temperature_c,145.0,degC
2026-04-30T08:00:00Z,BLR-1,boiler,cbd_flow_m3_h,2.5,m3/h
