model_id,run_id,timestamp,element_code,attribute,value
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,Max_CPR,5.69621723166254
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,HC_Flow_CV_Max_OP,69.04155
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,DS_Flow_CV_Max_OP,62.84305
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,fuel_gas_pressure,-1487.44879116
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,draft_pressure,1.5
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,Damper_Opening,-10.071399999999997
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,Flow_Control_Valve_OP,20.95845
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,max_cpr,0.0
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,Total_Runtime,89.86580000000001
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,Feed_Type,0.0
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,percent_above_threshold,0.0
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,ethylene_yield,100.01538510849706
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,68fadd62-8e82-4037-93de-78c6c0735184,specific_energy_consumption,8.957414514329095e-06
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,f5b1509b-eaa9-452d-8898-eaf6beb6f376,Max_CPR,5.69621723166254
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,f5b1509b-eaa9-452d-8898-eaf6beb6f376,HC_Flow_CV_Max_OP,69.04155
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,f5b1509b-eaa9-452d-8898-eaf6beb6f376,DS_Flow_CV_Max_OP,62.84305
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,f5b1509b-eaa9-452d-8898-eaf6beb6f376,fuel_gas_pressure,-1487.44879116
