model_id,run_id,timestamp,sensor,raw_value,modified_value,sip_policy
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,PI-FurnaceB-DRAFT.PV,37.454,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T01:00:00,PI-FurnaceB-DRAFT.PV,3.4389,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T02:00:00,PI-FurnaceB-DRAFT.PV,31.0982,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T03:00:00,PI-FurnaceB-DRAFT.PV,81.8015,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T04:00:00,PI-FurnaceB-DRAFT.PV,4.0775,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T05:00:00,PI-FurnaceB-DRAFT.PV,54.8734,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T06:00:00,PI-FurnaceB-DRAFT.PV,85.1137,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T07:00:00,PI-FurnaceB-DRAFT.PV,12.7061,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T08:00:00,PI-FurnaceB-DRAFT.PV,85.5461,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T09:00:00,PI-FurnaceB-DRAFT.PV,81.4468,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T10:00:00,PI-FurnaceB-DRAFT.PV,79.1579,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T11:00:00,PI-FurnaceB-DRAFT.PV,74.6045,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T12:00:00,PI-FurnaceB-DRAFT.PV,68.4731,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T13:00:00,PI-FurnaceB-DRAFT.PV,11.3558,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T14:00:00,PI-FurnaceB-DRAFT.PV,12.8046,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T15:00:00,PI-FurnaceB-DRAFT.PV,71.335,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T16:00:00,PI-FurnaceB-DRAFT.PV,8.0234,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T17:00:00,PI-FurnaceB-DRAFT.PV,34.8868,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T18:00:00,PI-FurnaceB-DRAFT.PV,62.0073,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T19:00:00,PI-FurnaceB-DRAFT.PV,69.6651,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T20:00:00,PI-FurnaceB-DRAFT.PV,1.3094,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T21:00:00,PI-FurnaceB-DRAFT.PV,1.9711,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T22:00:00,PI-FurnaceB-DRAFT.PV,42.5214,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T23:00:00,PI-FurnaceB-DRAFT.PV,71.9046,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-30T00:00:00,PI-FurnaceB-DRAFT.PV,24.9668,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,PI-FurnaceA-DRAFT.PV,60.1115,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T01:00:00,PI-FurnaceA-DRAFT.PV,96.9585,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T02:00:00,PI-FurnaceA-DRAFT.PV,76.0785,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T03:00:00,PI-FurnaceA-DRAFT.PV,94.291,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T04:00:00,PI-FurnaceA-DRAFT.PV,69.0938,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T05:00:00,PI-FurnaceA-DRAFT.PV,64.9633,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T06:00:00,PI-FurnaceA-DRAFT.PV,61.5007,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T07:00:00,PI-FurnaceA-DRAFT.PV,54.0635,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T08:00:00,PI-FurnaceA-DRAFT.PV,39.8505,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T09:00:00,PI-FurnaceA-DRAFT.PV,28.2035,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T10:00:00,PI-FurnaceA-DRAFT.PV,35.0915,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T11:00:00,PI-FurnaceA-DRAFT.PV,1.2154,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T12:00:00,PI-FurnaceA-DRAFT.PV,93.2728,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T13:00:00,PI-FurnaceA-DRAFT.PV,87.6654,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T14:00:00,PI-FurnaceA-DRAFT.PV,66.7558,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T15:00:00,PI-FurnaceA-DRAFT.PV,26.9243,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T16:00:00,PI-FurnaceA-DRAFT.PV,81.7072,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T17:00:00,PI-FurnaceA-DRAFT.PV,6.6496,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T18:00:00,PI-FurnaceA-DRAFT.PV,3.3532,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T19:00:00,PI-FurnaceA-DRAFT.PV,93.4367,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T20:00:00,PI-FurnaceA-DRAFT.PV,50.2195,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T21:00:00,PI-FurnaceA-DRAFT.PV,72.2267,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T22:00:00,PI-FurnaceA-DRAFT.PV,98.4402,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T23:00:00,PI-FurnaceA-DRAFT.PV,3.1183,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-30T00:00:00,PI-FurnaceA-DRAFT.PV,18.0575,0.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,PI-FurnaceB_CellA-FGCV.PV,30.4242,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T03:00:00,PI-FurnaceB_CellA-FGCV.PV,49.7249,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T04:00:00,PI-FurnaceB_CellA-FGCV.PV,25.7942,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T05:00:00,PI-FurnaceB_CellA-FGCV.PV,97.3011,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T06:00:00,PI-FurnaceB_CellA-FGCV.PV,35.9491,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T07:00:00,PI-FurnaceB_CellA-FGCV.PV,43.8971,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T08:00:00,PI-FurnaceB_CellA-FGCV.PV,65.8694,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T09:00:00,PI-FurnaceB_CellA-FGCV.PV,34.0804,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T10:00:00,PI-FurnaceB_CellA-FGCV.PV,7.2763,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T11:00:00,PI-FurnaceB_CellA-FGCV.PV,96.9303,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T12:00:00,PI-FurnaceB_CellA-FGCV.PV,59.4131,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T13:00:00,PI-FurnaceB_CellA-FGCV.PV,13.6371,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T14:00:00,PI-FurnaceB_CellA-FGCV.PV,12.0636,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T15:00:00,PI-FurnaceB_CellA-FGCV.PV,59.3592,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T16:00:00,PI-FurnaceB_CellA-FGCV.PV,76.9493,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T17:00:00,PI-FurnaceB_CellA-FGCV.PV,16.4266,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T18:00:00,PI-FurnaceB_CellA-FGCV.PV,12.7489,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T19:00:00,PI-FurnaceB_CellA-FGCV.PV,86.9896,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T22:00:00,PI-FurnaceB_CellA-FGCV.PV,27.4055,5.0,clamp
furnace_ranking_v1,demo_20260429_224936,2026-03-29T23:00:00,PI-FurnaceB_CellA-FGCV.PV,10.6598,5.0,clamp
