model_id,run_id,timestamp,furnace_id,rank
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T00:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T01:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T01:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T02:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T02:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T03:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T03:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T04:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T04:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T05:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T05:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T06:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T06:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T07:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T07:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T08:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T08:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T09:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T09:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T10:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T10:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T11:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T11:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T12:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T12:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T13:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T13:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T14:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T14:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T15:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T15:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T16:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T16:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T17:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T17:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T18:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T18:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T19:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T19:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T20:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T20:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T21:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T21:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T22:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-29T22:00:00,FurnaceA,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T23:00:00,FurnaceB,2
furnace_ranking_v1,demo_20260429_224936,2026-03-29T23:00:00,FurnaceA,1
furnace_ranking_v1,demo_20260429_224936,2026-03-30T00:00:00,FurnaceB,1
furnace_ranking_v1,demo_20260429_224936,2026-03-30T00:00:00,FurnaceA,2
