model_id,run_id,timestamp,sensor,raw_value,modified_value,sip_policy
boiler_calc_v1,demo_20260602_191329,2026-03-31T00:00:00,UN.UO.71PI1113.PV,1.886,44.5,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T01:00:00,UN.UO.71PI1113.PV,1.886,44.5,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T02:00:00,UN.UO.71PI1113.PV,1.886,44.5,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T00:00:00,UN.UO.71TC1111.PV,16.593,405.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T01:00:00,UN.UO.71TC1111.PV,16.593,405.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T02:00:00,UN.UO.71TC1111.PV,16.593,405.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T00:00:00,UN.UO.71FI1101.PV,2696.23,107500.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T01:00:00,UN.UO.71FI1101.PV,2696.23,107500.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T02:00:00,UN.UO.71FI1101.PV,2696.23,107500.0,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T00:00:00,UN.UO.71AC1104.PV,0.149,2.5,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T01:00:00,UN.UO.71AC1104.PV,0.149,2.5,last_good_value
boiler_calc_v1,demo_20260602_191329,2026-03-31T02:00:00,UN.UO.71AC1104.PV,0.149,2.5,last_good_value
